#          date               total        used        free      shared  buff/cache   available 
Sep 23 01:56:20 Mem:         257844      253536        1536           0        2772        2233
Sep 23 01:56:21 Mem:         257844      253554        1517           0        2772        2215
Sep 23 01:56:22 Mem:         257844      253571        1501           0        2772        2199
Sep 23 01:56:23 Mem:         257844      253588        1484           0        2772        2181
Sep 23 01:56:24 Mem:         257844      253609        1463           0        2772        2161
Sep 23 01:56:25 Mem:         257844      253620        1452           0        2772        2149
Sep 23 01:56:26 Mem:         257844      253632        1439           0        2772        2137
Sep 23 01:56:27 Mem:         257844      253644        1428           0        2772        2125
Sep 23 01:56:28 Mem:         257844      253657        1414           0        2772        2112
Sep 23 01:56:29 Mem:         257844      253670        1402           0        2772        2099
Sep 23 01:56:30 Mem:         257844      253680        1392           0        2772        2089
Sep 23 01:56:31 Mem:         257844      253689        1383           0        2772        2080
Sep 23 01:56:32 Mem:         257844      253693        1379           0        2772        2076
Sep 23 01:56:33 Mem:         257844      253700        1372           0        2772        2069
Sep 23 01:56:34 Mem:         257844      253705        1367           0        2772        2064
Sep 23 01:56:35 Mem:         257844      253710        1362           0        2772        2059
Sep 23 01:56:36 Mem:         257844      253715        1357           0        2772        2054
Sep 23 01:56:37 Mem:         257844      253719        1353           0        2772        2050
Sep 23 01:56:42 Mem:         257844      255297        2204           0         342         789
Sep 23 01:56:43 Mem:         257844         950      256546           0         347      255134
Sep 23 01:56:44 Mem:         257844         951      256543           0         349      255132
Sep 23 01:56:45 Mem:         257844         951      256543           0         349      255132
Sep 23 01:56:46 Mem:         257844         952      256542           0         349      255131
Sep 23 01:56:47 Mem:         257844         952      256541           0         349      255131
Sep 23 01:56:48 Mem:         257844         953      256541           0         349      255131
Sep 23 01:56:50 Mem:         257844         953      256541           0         349      255131
Sep 23 01:56:51 Mem:         257844         953      256541           0         349      255131
Sep 23 01:56:52 Mem:         257844         953      256540           0         349      255130
Sep 23 01:56:53 Mem:         257844         954      256540           0         350      255129
Sep 23 01:56:54 Mem:         257844         954      256540           0         350      255129
Sep 23 01:56:55 Mem:         257844         955      256539           0         350      255129
Sep 23 01:56:56 Mem:         257844         954      256540           0         350      255129
Sep 23 01:56:57 Mem:         257844         955      256539           0         350      255129
Sep 23 01:56:58 Mem:         257844         955      256539           0         350      255129
Sep 23 01:56:59 Mem:         257844         955      256539           0         350      255129
Sep 23 01:57:00 Mem:         257844         955      256539           0         350      255128
